man_hour,workcenter,proses,tipe_proses,kapasitas,produk,id_tipe_proses,id_proses,id_workcenter,id_kapasitas,id_produk,,
2,CORE & ASSEMBLY,ACCESSORIES,FAN,15,Dry Resin,56,121,10,2,5,,,PEMBUATAN KONEKSI HV,123,,,,,,,,,ZTA - 2/3,123,,,
50,CORE & ASSEMBLY,ACCESSORIES,OLTC,15,Dry Resin,51,121,10,2,5,,,ASSEMBLY,124,,,,,,,,,ACT-1 ,124,,,
2,CORE & ASSEMBLY,ACCESSORIES,LEM SPACER BLOCK/AIR GAP,15,Dry Resin,126,121,10,2,5,,,FINISHING,125,,,,,,,,,BCT-1/2/3,125,,,
1,CORE & ASSEMBLY,POTONG ISOLASI FIBER,PULLING BOARD,15,Dry Resin,127,77,10,2,5,,,LEM SPACER BLOCK/AIR GAP,126,,,,,,,,,BCT IN OIL ,126,,,
1,CORE & ASSEMBLY,POTONG ISOLASI FIBER,FIXING PART INSULATION,15,Dry Resin,128,77,10,2,5,,,PULLING BOARD,127,,,,,,,,,RCT-24A/B (≤ 600T),127,,,
3.5,QC,QC,ROUTINE TEST,15,Dry Resin,15,122,13,2,5,,,FIXING PART INSULATION,128,,,,,,,,,RCT-24A/B (≥4000T),128,,,
15,COIL MAKING,COIL HV,FLAT-KONDUKTOR 1,20,Dry Resin,80,2,1,3,5,,,SHEET-KONDUKTOR 4-8,129,,,,,,,,,BCT (O) ,129,,,
17,COIL MAKING,COIL HV,FLAT-KONDUKTOR 2-3,20,Dry Resin,81,2,1,3,5,,,SHEET-KONDUKTOR >8,130,,,,,,,,,,,,,
19,COIL MAKING,COIL HV,FLAT-KONDUKTOR 4-8,20,Dry Resin,82,2,1,3,5,,,IMPREGNATION VARNISH,131,,,,,,,,,,,,,
22,COIL MAKING,COIL HV,FLAT-KONDUKTOR >8,20,Dry Resin,83,2,1,3,5,,,WOUND,132,,,,,,,,,,,,,
15,COIL MAKING,COIL HV,ROUND-KONDUKTOR 1,20,Dry Resin,84,2,1,3,5,,,SHEET,133,,,,,,,,,,,,,
17,COIL MAKING,COIL HV,ROUND-KONDUKTOR 2-3,20,Dry Resin,85,2,1,3,5,,,RAIL COPPER,134,,,,,,,,,,,,,
19,COIL MAKING,COIL HV,ROUND-KONDUKTOR 4-8,20,Dry Resin,86,2,1,3,5,,,ASSEMBLY STACKING,135,,,,,,,,,,,,,
22,COIL MAKING,COIL HV,ROUND-KONDUKTOR >8,20,Dry Resin,87,2,1,3,5,,,SPECIAL TEST,136,,,,,,,,,,,,,
4,COIL MAKING,COIL LV,FLAT-KONDUKTOR 1,20,Dry Resin,80,1,1,3,5,,,BALUT CORE CT,137,,,,,,,,,,,,,
